model,question_id,check_type,ai_score,review_flags,automatic_evidence
final_sft,CODE-04,python_tests,2.3,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_sft,CODE-05,python_tests,3.5,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_sft,CODE-06,python_tests,5.0,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_dpo,MATH-01,numeric,5.0,,"{""status"": ""checked"", ""passed"": true, ""observed"": 202.0, ""expected"": 202.0, ""tolerance"": 0.0}"
final_dpo,MATH-02,numeric,3.5,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 0.285714, ""expected"": 0.333333, ""tolerance"": 1e-06}"
final_dpo,MATH-03,numeric,4.9,,"{""status"": ""checked"", ""passed"": true, ""observed"": 40.0, ""expected"": 40.0, ""tolerance"": 0.0}"
final_dpo,MATH-04,numeric,3.5,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 64.0, ""expected"": 42.0, ""tolerance"": 0.0}"
final_dpo,MATH-05,numeric,3.9,numeric_final_mismatch;ambiguous_question_do_not_rank_from_this_item,"{""status"": ""checked"", ""passed"": false, ""observed"": 115.0, ""expected"": 230.0, ""tolerance"": 0.0}"
final_dpo,MATH-06,numeric,4.0,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 0.185185, ""expected"": 1.833333, ""tolerance"": 1e-06}"
final_dpo,MATH-07,numeric,3.5,numeric_final_mismatch,"{""status"": ""checked"", ""passed"": false, ""observed"": 1.666667, ""expected"": 5.333333, ""tolerance"": 1e-06}"
final_dpo,REASON-01,required_terms,5.0,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, false, false, false]}"
final_dpo,REASON-02,required_terms,2.7,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, true]}"
final_dpo,REASON-03,required_terms,3.5,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, false, true]}"
final_dpo,REASON-04,required_terms,4.5,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, true, true, true, false]}"
final_dpo,REASON-05,required_terms,5.0,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [true, false, true, true, true]}"
final_dpo,REASON-06,format,5.0,,"{""status"": ""checked"", ""passed"": false, ""pattern_results"": [true, false, true]}"
final_dpo,REASON-07,required_terms,4.35,keyword_miss_requires_semantic_review,"{""status"": ""checked"", ""passed"": false, ""group_results"": [false, false, false, true, true]}"
final_dpo,CODE-01,python_tests,3.7,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_dpo,CODE-02,python_tests,1.25,invalid_python_syntax;code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""invalid"", ""syntax_error"": {""type"": ""IndentationError"", ""line"": 1, ""message"": ""expected an indented block after function definition on line 1""}}"
final_dpo,CODE-03,python_tests,3.4,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_dpo,CODE-04,python_tests,2.0,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_dpo,CODE-05,python_tests,3.7,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
final_dpo,CODE-06,python_tests,5.0,code_behavior_not_executed,"{""code_execution_status"": ""disabled_no_sandbox"", ""tests_passed"": null, ""reason"": ""bwrap is not installed"", ""syntax_status"": ""valid_not_execution""}"
